player_id,full_name,position,year,ovr
00-0034204,Olasunkanmi Adeniyi,LB,2020,63
00-0034204,Olasunkanmi Adeniyi,LB,2021,68
00-0034204,Olasunkanmi Adeniyi,LB,2022,69
00-0035136,Aaron Adeoye,LB,,
00-0032273,Jude Adjei-Barimah,DB,2016,69
00-0032273,Jude Adjei-Barimah,DB,2017,72
00-0038783,Nate Adkins,TE,,
00-0034702,Pat Afriyie,DL,2019,63
00-0031549,Nelson Agholor,WR,2016,72
00-0031549,Nelson Agholor,WR,2017,71
00-0031549,Nelson Agholor,WR,2018,84
00-0031549,Nelson Agholor,WR,2019,83
00-0031549,Nelson Agholor,WR,2020,77
00-0031549,Nelson Agholor,WR,2021,79
00-0031549,Nelson Agholor,WR,2022,81
00-0031549,Nelson Agholor,WR,2023,79
00-0036420,McTelvin Agim,DL,2020,69
00-0036420,McTelvin Agim,DL,2021,68
00-0036420,McTelvin Agim,DL,2022,67
00-0036420,McTelvin Agim,DL,2023,66
00-0033572,Jamal Agnew,WR,2020,62
00-0033572,Jamal Agnew,WR,2021,73
00-0033572,Jamal Agnew,WR,2022,74
00-0033572,Jamal Agnew,WR,2023,76
00-0039177,David Ebuka Agoha,DL,,
00-0039177,David Agoha,DL,,
00-0038682,Mitchell Agude,LB,,
00-0033599,Carlton Agudosi,WR,2018,58
00-0033599,Carlton Agudosi,WR,2019,58
00-0038749,Holton Ahlers,QB,2023,54
00-0036020,Salvon Ahmed,RB,2021,69
00-0036020,Salvon Ahmed,RB,2022,69
00-0036020,Salvon Ahmed,RB,2023,69
00-0039175,Junior Aho,DL,,
00-0028497,Kamar Aiken,WR,2016,78
00-0028497,Kamar Aiken,WR,2017,78
00-0031307,Walt Aikens,DB,2016,71
00-0031307,Walt Aikens,DB,2017,69
00-0031307,Walt Aikens,DB,2018,69
00-0031307,Walt Aikens,DB,2019,66
00-0036261,Brandon Aiyuk,WR,2020,72
00-0036261,Brandon Aiyuk,WR,2021,79
00-0036261,Brandon Aiyuk,WR,2022,81
00-0036261,Brandon Aiyuk,WR,2023,86
00-0031590,Jay Ajayi,RB,2016,75
00-0031590,Jay Ajayi,RB,2017,87
00-0031590,Jay Ajayi,RB,2018,86
00-0039178,Austin Ajiake,LB,,
00-0027581,Seyi Ajirotutu,WR,,
00-0036414,Cam Akers,RB,2020,73
00-0036414,Cam Akers,RB,2021,82
00-0036414,Cam Akers,RB,2022,83
00-0036414,Cam Akers,RB,2023,81
00-0036598,Landen Akers,WR,2022,59
00-0038073,Alex Akingbulu,OL,,
00-0035600,Freedom Akinmoladun,DL,2020,59
00-0035392,Curtis Akins,LB,,
00-0034364,Jordan Akins,TE,2018,70
00-0034364,Jordan Akins,TE,2019,71
00-0034364,Jordan Akins,TE,2020,71
00-0034364,Jordan Akins,TE,2021,72
00-0034364,Jordan Akins,TE,2022,71
00-0034364,Jordan Akins,TE,2023,73
00-0031666,Derek Akunne,LB,,
00-0035166,Azeez Al-Shaair,LB,2020,63
00-0035166,Azeez Al-Shaair,LB,2021,72
00-0035166,Azeez Al-Shaair,LB,2022,73
00-0035166,Azeez Al-Shaair,LB,2023,77
00-0035103,Otaro Alaka,LB,2020,62
00-0036448,Isaac Alarcon,OL,,
00-0026155,Branden Albert,OL,2016,80
00-0026155,Branden Albert,OL,2017,73
00-0032491,Bryson Albright,LB,2017,60
00-0032491,Bryson Albright,LB,2018,68
00-0029099,Chas Alecxih,DL,2016,60
00-0034840,Adonis Alexander,DB,2019,64
00-0034840,Adonis Alexander,DB,2020,64
00-0034715,Deontez Alexander,WR,,
00-0032983,Dominique Alexander,LB,2016,58
00-0032983,Dominique Alexander,LB,2017,61
00-0031950,D.J. Alexander,LB,2016,56
00-0031950,D.J. Alexander,LB,2017,66
00-0031950,D.J. Alexander,LB,2018,69
00-0031950,D.J. Alexander,LB,2019,67
00-0029270,Frank Alexander,DL,,
00-0034728,Jaire Alexander,DB,2018,77
00-0034728,Jaire Alexander,DB,2019,83
00-0034728,Jaire Alexander,DB,2020,90
00-0034728,Jaire Alexander,DB,2021,95
00-0034728,Jaire Alexander,DB,2022,94
00-0034728,Jaire Alexander,DB,2023,95
00-0023259,Lorenzo Alexander,LB,2016,72
00-0023259,Lorenzo Alexander,LB,2017,84
00-0023259,Lorenzo Alexander,LB,2018,78
00-0023259,Lorenzo Alexander,LB,2019,82
00-0032389,Mackensie Alexander,DB,2016,75
00-0032389,Mackensie Alexander,DB,2017,73
00-0032389,Mackensie Alexander,DB,2018,73
00-0032389,Mackensie Alexander,DB,2019,74
00-0032389,Mackensie Alexander,DB,2020,77
00-0032389,Mackensie Alexander,DB,2021,74
00-0031393,Maurice Alexander,LB,2016,69
00-0031393,Maurice Alexander,LB,2017,84
00-0031393,Maurice Alexander,LB,2018,76
00-0031393,Maurice Alexander,LB,2019,66
00-0037708,Maurice Alexander,WR,,
00-0032109,Kwon Alexander,LB,2016,76
00-0032109,Kwon Alexander,LB,2017,80
00-0032109,Kwon Alexander,LB,2018,80
00-0032109,Kwon Alexander,LB,2019,78
00-0032109,Kwon Alexander,LB,2020,82
00-0032109,Kwon Alexander,LB,2021,76
00-0032899,Vadal Alexander,OL,2016,66
00-0032899,Vadal Alexander,OL,2017,67
00-0032899,Vadal Alexander,OL,2018,67
00-0038491,Deslin Alexandre,DL,,
00-0035381,Joey Alfieri,LB,,
00-0037034,Dee Alford,DB,2023,66
00-0031962,Mario Alford,WR,2016,59
00-0031962,Mario Alford,WR,2017,60
00-0030528,Robert Alford,DB,2016,77
00-0030528,Robert Alford,DB,2017,80
00-0030528,Robert Alford,DB,2018,85
00-0030528,Robert Alford,DB,2019,77
00-0030528,Robert Alford,DB,2020,73
00-0030528,Robert Alford,DB,2021,76
00-0038149,Josh Ali,WR,,
00-0039796,Rasheen Ali,RB,,
00-0033513,Ricky Ali'ifua,DL,,
00-0033217,Mo Alie-Cox,TE,2019,70
00-0033217,Mo Alie-Cox,TE,2020,66
00-0033217,Mo Alie-Cox,TE,2021,75
00-0033217,Mo Alie-Cox,TE,2022,75
00-0033217,Mo Alie-Cox,TE,2023,73
00-0039814,Erick All,TE,,
00-0035149,Nick Allegretti,OL,2019,58
00-0035149,Nick Allegretti,OL,2020,59
00-0035149,Nick Allegretti,OL,2021,64
00-0035149,Nick Allegretti,OL,2022,63
00-0035149,Nick Allegretti,OL,2023,63
00-0029553,Antonio Allen,DB,2016,79
00-0037369,Austin Allen,TE,,
00-0031089,Beau Allen,DL,2016,65
00-0031089,Beau Allen,DL,2017,68
00-0031089,Beau Allen,DL,2018,75
00-0031089,Beau Allen,DL,2019,70
00-0031089,Beau Allen,DL,2020,72
00-0039794,Braelon Allen,RB,,
00-0032434,Brandon Allen,QB,2016,65
00-0032434,Brandon Allen,QB,2017,63
00-0032434,Brandon Allen,QB,2018,61
00-0032434,Brandon Allen,QB,2019,46
00-0032434,Brandon Allen,QB,2021,54
00-0032434,Brandon Allen,QB,2022,54
00-0032434,Brandon Allen,QB,2023,54
00-0038856,Brevin Allen,LB,,
00-0033467,Brian Allen,DB,2017,65
00-0033467,Brian Allen,DB,2018,69
00-0033467,Brian Allen,DB,2019,63
00-0033467,Brian Allen,DB,2020,64
00-0034804,Brian Allen,OL,2018,66
00-0034804,Brian Allen,OL,2019,62
00-0034804,Brian Allen,OL,2020,65
00-0034804,Brian Allen,OL,2021,70
00-0034804,Brian Allen,OL,2022,71
00-0034804,Brian Allen,OL,2023,73
00-0033399,Chase Allen,LB,2018,70
00-0033399,Chase Allen,LB,2019,67
00-0037100,Chase Allen,TE,2023,63
00-0037379,Christopher Allen,LB,,
00-0028066,Cortez Allen,DB,,
00-0035670,Dakota Allen,LB,2019,61
00-0035670,Dakota Allen,LB,2020,65
00-0035670,Dakota Allen,LB,2021,62
00-0035670,Dakota Allen,LB,2022,63
00-0039074,Davis Allen,TE,2023,64
00-0034585,Dejon Allen,OL,2018,62
00-0037039,Devon Allen,WR,2023,60
00-0029689,Dwayne Allen,TE,2016,80
00-0029689,Dwayne Allen,TE,2017,80
00-0029689,Dwayne Allen,TE,2018,81
00-0029689,Dwayne Allen,TE,2019,76
00-0032872,Jack Allen,OL,2016,59
00-0032872,Jack Allen,OL,2017,59
00-0031577,Javorius Allen,RB,2016,74
00-0031577,Javorius Allen,RB,2017,72
00-0031577,Javorius Allen,RB,2018,74
00-0031577,Javorius Allen,RB,2019,70
00-0029524,Jeff Allen,OL,2016,78
00-0029524,Jeff Allen,OL,2017,72
00-0029524,Jeff Allen,OL,2018,70
00-0033523,Jonathan Allen,DL,2017,73
00-0033523,Jonathan Allen,DL,2018,79
00-0033523,Jonathan Allen,DL,2019,82
00-0033523,Jonathan Allen,DL,2020,82
00-0033523,Jonathan Allen,DL,2021,92
00-0033523,Jonathan Allen,DL,2022,92
00-0033523,Jonathan Allen,DL,2023,92
00-0030833,Josh Allen,OL,2016,62
00-0030833,Josh Allen,OL,2017,61
00-0030833,Josh Allen,OL,2018,60
00-0030833,Josh Allen,OL,2021,85
00-0030833,Josh Allen,OL,2022,85
00-0030833,Josh Allen,OL,2023,85
00-0034857,Josh Allen,QB,2018,74
00-0034857,Josh Allen,QB,2019,74
00-0034857,Josh Allen,QB,2020,77
00-0034857,Josh Allen,QB,2021,89
00-0034857,Josh Allen,QB,2022,92
00-0034857,Josh Allen,QB,2023,94
00-0038830,Kazmeir Allen,WR,,
00-0030279,Keenan Allen,WR,2016,88
00-0030279,Keenan Allen,WR,2017,89
00-0030279,Keenan Allen,WR,2018,92
00-0030279,Keenan Allen,WR,2019,89
00-0030279,Keenan Allen,WR,2020,91
00-0030279,Keenan Allen,WR,2021,93
00-0030279,Keenan Allen,WR,2022,91
00-0030279,Keenan Allen,WR,2023,89
00-0034577,Kyle Allen,QB,2019,49
00-0034577,Kyle Allen,QB,2020,65
00-0034577,Kyle Allen,QB,2021,64
00-0034577,Kyle Allen,QB,2022,63
00-0034577,Kyle Allen,QB,2023,61
00-0034335,Marcus Allen,LB,2018,67
00-0034335,Marcus Allen,LB,2021,64
00-0034335,Marcus Allen,LB,2022,65
00-0027652,Nate Allen,DB,2016,77
00-0027652,Nate Allen,DB,2017,72
00-0031213,RaShaun Allen,TE,2016,62
00-0031181,Ricardo Allen,DB,2016,75
00-0031181,Ricardo Allen,DB,2017,81
00-0031181,Ricardo Allen,DB,2018,84
00-0031181,Ricardo Allen,DB,2019,81
00-0031181,Ricardo Allen,DB,2020,81
00-0031181,Ricardo Allen,DB,2021,78
00-0030914,Torrence Allen,WR,2016,63
00-0022900,Will Allen,DB,,
00-0035248,Zach Allen,DL,2019,69
00-0035248,Zach Allen,DL,2020,69
00-0035248,Zach Allen,DL,2021,72
00-0035248,Zach Allen,DL,2022,72
00-0035248,Zach Allen,DL,2023,79
00-0037263,Tyler Allgeier,RB,2022,67
00-0037263,Tyler Allgeier,RB,2023,78
00-0032626,Geronimo Allison,WR,2016,61
00-0032626,Geronimo Allison,WR,2017,67
00-0032626,Geronimo Allison,WR,2018,71
00-0032626,Geronimo Allison,WR,2019,74
00-0032626,Geronimo Allison,WR,2020,73
00-0032626,Geronimo Allison,WR,2022,69
00-0030401,Kiko Alonso,LB,2016,76
00-0030401,Kiko Alonso,LB,2017,76
00-0030401,Kiko Alonso,LB,2018,73
00-0030401,Kiko Alonso,LB,2019,73
00-0030401,Kiko Alonso,LB,2020,72
00-0039897,Joe Alt,OL,,
00-0027862,Tyson Alualu,DL,2016,76
00-0027862,Tyson Alualu,DL,2017,73
00-0027862,Tyson Alualu,DL,2018,77
00-0027862,Tyson Alualu,DL,2019,72
00-0027862,Tyson Alualu,DL,2020,72
00-0027862,Tyson Alualu,DL,2021,82
00-0027862,Tyson Alualu,DL,2022,82
00-0036065,Auzoyah Alufohai,DL,,
00-0035142,Ugo Amadi,DB,2019,67
00-0035142,Ugo Amadi,DB,2020,68
00-0035142,Ugo Amadi,DB,2021,71
00-0035142,Ugo Amadi,DB,2022,71
00-0035142,Ugo Amadi,DB,2023,70
00-0035142,Ugochukwu Amadi,DB,2019,67
00-0035142,Ugochukwu Amadi,DB,2020,68
00-0035142,Ugochukwu Amadi,DB,2021,71
00-0035142,Ugochukwu Amadi,DB,2022,71
00-0035142,Ugochukwu Amadi,DB,2023,70
00-0031042,Jace Amaro,TE,2016,74
00-0031042,Jace Amaro,TE,2017,75
00-0031042,Jace Amaro,TE,2018,74
00-0039822,Kiran Amegadjie,OL,,
00-0026035,Danny Amendola,WR,2016,83
00-0026035,Danny Amendola,WR,2017,78
00-0026035,Danny Amendola,WR,2018,85
00-0026035,Danny Amendola,WR,2019,81
00-0026035,Danny Amendola,WR,2020,80
00-0026035,Danny Amendola,WR,2021,77
00-0030420,David Amerson,DB,2016,84
00-0030420,David Amerson,DB,2017,82
00-0030420,David Amerson,DB,2018,80
00-0030420,David Amerson,DB,2019,71
00-0033301,Kofi Amichia,OL,2017,66
00-0033301,Kofi Amichia,OL,2018,67
00-0033301,Kofi Amichia,OL,2019,59
00-0033301,Kofi Amichia,OL,2020,59
00-0031584,Adrian Amos,DB,2016,77
00-0031584,Adrian Amos,DB,2017,80
00-0031584,Adrian Amos,DB,2018,90
00-0031584,Adrian Amos,DB,2019,87
00-0031584,Adrian Amos,DB,2020,86
00-0031584,Adrian Amos,DB,2021,90
00-0031584,Adrian Amos,DB,2022,88
00-0031584,Adrian Amos,DB,2023,83
00-0027957,Prince Amukamara,DB,2016,83
00-0027957,Prince Amukamara,DB,2017,81
00-0027957,Prince Amukamara,DB,2018,79
00-0027957,Prince Amukamara,DB,2019,81
00-0027957,Prince Amukamara,DB,2020,78
00-0036379,Bradlee Anae,DL,2020,65
00-0036379,Bradlee Anae,DL,2022,66
00-0036379,Bradlee Anae,DL,2023,66
00-0034012,Peli Anau,DL,,
00-0036437,Tremayne Anchrum,OL,2020,59
00-0036437,Tremayne Anchrum,OL,2021,57
00-0036437,Tremayne Anchrum,OL,2022,58
00-0036437,Tremayne Anchrum,OL,2023,60
00-0037810,Troy Andersen,LB,2022,69
00-0037810,Troy Andersen,LB,2023,66
00-0034587,Abdullah Anderson,DL,2019,61
00-0034587,Abdullah Anderson,DL,2020,61
00-0034587,Abdullah Anderson,DL,2023,68
00-0037428,Alec Anderson,OL,,
00-0035467,Bruce Anderson,RB,2019,61
00-0035467,Bruce Anderson,RB,2020,60
00-0034957,Calvin Anderson,OL,2019,55
00-0034957,Calvin Anderson,OL,2020,55
00-0034957,Calvin Anderson,OL,2021,58
00-0034957,Calvin Anderson,OL,2022,58
00-0034957,Calvin Anderson,OL,2023,63
00-0026578,Colt Anderson,DB,2016,71
00-0026578,Colt Anderson,DB,2017,69
00-0029854,C.J. Anderson,RB,2016,84
00-0029854,C.J. Anderson,RB,2017,85
00-0029854,C.J. Anderson,RB,2018,81
00-0029854,C.J. Anderson,RB,2019,80
00-0029854,C.J. Anderson,RB,2022,65
00-0036027,Darius Anderson,RB,,
00-0023645,Derek Anderson,QB,2016,70
00-0023645,Derek Anderson,QB,2017,69
00-0031504,Dres Anderson,WR,2016,62
00-0031504,Dres Anderson,WR,2017,62
00-0031504,Dres Anderson,WR,2018,62
00-0035483,Drew Anderson,QB,,
00-0039696,Evan Anderson,DL,,
00-0032269,Henry Anderson,DL,2016,76
00-0032269,Henry Anderson,DL,2017,76
00-0032269,Henry Anderson,DL,2018,80
00-0032269,Henry Anderson,DL,2019,79
00-0032269,Henry Anderson,DL,2020,76
00-0032269,Henry Anderson,DL,2021,73
00-0032269,Henry Anderson,DL,2022,72
00-0032269,Henry Anderson,DL,2023,74
00-0036577,Jack Anderson,OL,2021,61
00-0036577,Jack Anderson,OL,2022,61
00-0036577,Jack Anderson,OL,2023,63
00-0024303,James Anderson,LB,,
00-0031902,Jonathan Anderson,LB,2016,66
00-0031902,Jonathan Anderson,LB,2017,66
00-0031902,Jonathan Anderson,LB,2018,65
00-0031902,Jonathan Anderson,LB,2019,60
00-0032713,Kevin Anderson,LB,,
00-0034851,Kiante Anderson,DL,,
00-0038429,Liam Anderson,LB,,
00-0033525,Ryan Anderson,LB,2017,73
00-0033525,Ryan Anderson,LB,2018,72
00-0033525,Ryan Anderson,LB,2019,70
00-0033525,Ryan Anderson,LB,2020,71
00-0036969,Otis Anderson,RB,,
00-0035299,Rodney Anderson,RB,2019,67
00-0035299,Rodney Anderson,RB,2020,68
00-0032072,Rory Anderson,TE,,
00-0037621,Ryder Anderson,DL,2023,62
00-0038645,Spencer Anderson,OL,2023,62
00-0032725,Stephen Anderson,TE,2016,63
00-0032725,Stephen Anderson,TE,2017,65
00-0032725,Stephen Anderson,TE,2018,71
00-0032725,Stephen Anderson,TE,2019,69
00-0032725,Stephen Anderson,TE,2020,64
00-0032725,Stephen Anderson,TE,2021,66
00-0032725,Stephen Anderson,TE,2022,66
00-0037752,Tycen Anderson,DB,2022,65
00-0037752,Tycen Anderson,DB,2023,65
00-0039108,Will Anderson Jr.,DL,2023,78
00-0031696,Zaire Anderson,LB,2017,60
00-0031696,Zaire Anderson,LB,2018,68
00-0036677,Zayne Anderson,DB,2021,61
00-0036677,Zayne Anderson,DB,2022,62
00-0036677,Zayne Anderson,DB,2023,62
00-0039763,Joe Andreessen,LB,,
00-0030789,Antonio Andrews,RB,2016,76
00-0031852,David Andrews,OL,2016,71
00-0031852,David Andrews,OL,2017,78
00-0031852,David Andrews,OL,2018,84
00-0031852,David Andrews,OL,2019,84
00-0031852,David Andrews,OL,2020,84
00-0031852,David Andrews,OL,2021,84
00-0031852,David Andrews,OL,2022,85
00-0031852,David Andrews,OL,2023,83
00-0039030,Jake Andrews,OL,2023,66
00-0030706,Josh Andrews,OL,2016,60
00-0030706,Josh Andrews,OL,2017,61
00-0030706,Josh Andrews,OL,2018,66
00-0030706,Josh Andrews,OL,2019,57
00-0030706,Josh Andrews,OL,2020,60
00-0030706,Josh Andrews,OL,2021,60
00-0030706,Josh Andrews,OL,2022,60
00-0034753,Mark Andrews,TE,2018,75
00-0034753,Mark Andrews,TE,2019,79
00-0034753,Mark Andrews,TE,2020,86
00-0034753,Mark Andrews,TE,2021,93
00-0034753,Mark Andrews,TE,2022,93
00-0034753,Mark Andrews,TE,2023,95
00-0037592,David Anenih,LB,,
00-0035810,Christian Angulo,DB,,
00-0033598,Eli Ankou,DL,2018,69
00-0033598,Eli Ankou,DL,2019,63
00-0033598,Eli Ankou,DL,2020,62
00-0033598,Eli Ankou,DL,2022,62
00-0030707,Blake Annen,TE,2016,63
00-0030059,Ezekiel Ansah,DL,2016,90
00-0030059,Ezekiel Ansah,DL,2017,84
00-0030059,Ezekiel Ansah,DL,2018,83
00-0030059,Ezekiel Ansah,DL,2019,80
00-0037328,Andre Anthony,LB,2022,62
00-0039414,Daijahn Anthony,DB,,
00-0032102,Stephone Anthony,LB,2016,74
00-0032102,Stephone Anthony,LB,2017,72
00-0032102,Stephone Anthony,LB,2018,72
00-0037230,Israel Antwine,DL,,
00-0039006,Felix Anudike-Uzomah,DL,2023,71
00-0029021,Chigbo Anunoby,DL,,
00-0039676,Chigozie Anusiem,DB,,
00-0033914,Alex Anzalone,LB,2017,68
00-0033914,Alex Anzalone,LB,2018,74
00-0033914,Alex Anzalone,LB,2019,74
00-0033914,Alex Anzalone,LB,2020,73
00-0033914,Alex Anzalone,LB,2021,72
00-0033914,Alex Anzalone,LB,2022,72
00-0033914,Alex Anzalone,LB,2023,73
00-0034334,Troy Apke,DB,2018,69
00-0034334,Troy Apke,DB,2019,66
00-0034334,Troy Apke,DB,2020,69
00-0034334,Troy Apke,DB,2021,66
00-0034334,Troy Apke,DB,2022,65
00-0034334,Troy Apke,DB,2023,64
00-0032379,Eli Apple,DB,2016,76
00-0032379,Eli Apple,DB,2017,77
00-0032379,Eli Apple,DB,2018,74
00-0032379,Eli Apple,DB,2019,76
00-0032379,Eli Apple,DB,2020,75
00-0032379,Eli Apple,DB,2021,75
00-0032379,Eli Apple,DB,2022,76
00-0035105,Marcus Applefield,OL,,
00-0035246,J.J. Arcega-Whiteside,WR,2019,73
00-0035246,J.J. Arcega-Whiteside,WR,2020,73
00-0035246,J.J. Arcega-Whiteside,WR,2021,69
00-0031392,Dri Archer,RB,,
00-0036700,Daniel Archibong,DL,2022,58
00-0037845,A.J. Arcuri,OL,2022,61
00-0037845,A.J. Arcuri,OL,2023,61
00-0038702,Daniel Arias,WR,,
00-0032074,Chi Chi Ariguzo,LB,,
00-0028048,David Arkin,OL,2016,63
00-0033296,Alex Armah,RB,2017,72
00-0033296,Alex Armah,RB,2018,65
00-0033296,Alex Armah,RB,2019,67
00-0033296,Alex Armah,RB,2020,69
00-0033296,Alex Armah,RB,2022,67
00-0033296,Alex Armah,RB,2023,66
00-0031729,Thurston Armbrister,LB,2016,57
00-0031729,Thurston Armbrister,LB,2017,61
00-0031729,Thurston Armbrister,LB,2018,59
00-0038119,Jalyn Armour-Davis,DB,2022,67
00-0038119,Jalyn Armour-Davis,DB,2023,64
00-0038119,Jalyn Armour-Davis,DB,2023,66
00-0032164,Arik Armstead,DL,2016,77
00-0032164,Arik Armstead,DL,2017,75
00-0032164,Arik Armstead,DL,2018,79
00-0032164,Arik Armstead,DL,2019,78
00-0032164,Arik Armstead,DL,2020,86
00-0032164,Arik Armstead,DL,2021,87
00-0032164,Arik Armstead,DL,2022,86
00-0032164,Arik Armstead,DL,2023,82
00-0035268,Ryquell Armstead,RB,2019,65
00-0035268,Ryquell Armstead,RB,2020,66
00-0030067,Terron Armstead,OL,2016,92
00-0030067,Terron Armstead,OL,2017,85
00-0030067,Terron Armstead,OL,2018,82
00-0030067,Terron Armstead,OL,2019,88
00-0030067,Terron Armstead,OL,2020,95
00-0030067,Terron Armstead,OL,2021,94
